"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","reference_no","is_extant","n_occs"
"103709","103709","txn","","","Oryctodromeus","","103709","genus","Oryctodromeus","267487","24636","extinct","9"
"38743","38743","txn","","","Zephyrosaurus","","38743","genus","Zephyrosaurus","267487","23373","extinct","4"
"64337","64337","txn","","","Orodromeus","","64337","genus","Orodromeus","267487","7404","extinct","9"
"267486","267486","txn","","","Albertadromeus","","267486","genus","Albertadromeus","267487","46723","extinct","1"
"519157","519157","txn","","","Doolysaurus","","519157","genus","Doolysaurus","64386","94545","extinct","1"
"38739","38739","txn","","","Parksosaurus","","38739","genus","Parksosaurus","52813","18580","extinct","3"
"494305","494305","txn","","","Fona","","494305","genus","Fona","52813","88897","extinct","3"
"186989","186989","txn","","","Haya","","186989","genus","Haya","52813","36364","extinct","2"
"131332","131332","txn","F","","Changchunsaurus","","131332","genus","Changchunsaurus","52813","27973","extinct","1"
"38742","38742","txn","","","Thescelosaurus","","38742","genus","Thescelosaurus","52813","13458","extinct","55"
"65023","65023","txn","","","Bugenasaura","subjective synonym of","38742","genus","Thescelosaurus","52813","12971","extinct","55"
"68236","68236","txn","","","Jeholosaurus","","68236","genus","Jeholosaurus","52813","14918","extinct","2"
"267714","267714","txn","","","Yueosaurus","","267714","genus","Yueosaurus","52813","46757","extinct","1"
"426829","426829","txn","","","Changmiania","","426829","genus","Changmiania","52813","73876","extinct","1"
"71336","71336","txn","","","Hexinlusaurus","","71336","genus","Hexinlusaurus","71774","16608","extinct","1"
"424322","424322","txn","","","Sanxiasaurus","","424322","genus","Sanxiasaurus","71774","73369","extinct","1"
"517609","517609","txn","","","Ferenceratops","","517609","genus","Ferenceratops","38842","93878","extinct","9"
"342025","342025","txn","","","Ischioceratops","","342025","genus","Ischioceratops","90273","59321","extinct","1"
"96088","96088","txn","","","Prenoceratops","","96088","genus","Prenoceratops","90273","23482","extinct","2"
"153895","153895","txn","","","Helioceratops","","153895","genus","Helioceratops","90273","30705","extinct","1"
"176309","176309","txn","","","Koreaceratops","","176309","genus","Koreaceratops","90273","35022","extinct","1"
"399801","399801","txn","","","Ferrisaurus","","399801","genus","Ferrisaurus","90273","71098","extinct","1"
"228689","228689","txn","","","Unescoceratops","","228689","genus","Unescoceratops","90273","40783","extinct","1"
"110946","110946","txn","","","Cerasinops","","110946","genus","Cerasinops","90273","25743","extinct","3"
"172379","172379","txn","","","Zhuchengceratops","","172379","genus","Zhuchengceratops","90273","34152","extinct","1"
"496386","496386","txn","","","Gremlin","","496386","genus","Gremlin","90273","89235","extinct","2"
"66584","66584","txn","","","Udanoceratops","","66584","genus","Udanoceratops","90273","13879","extinct","1"
"38850","38850","txn","","","Montanoceratops","","38850","genus","Montanoceratops","90273","18564","extinct","3"
"228691","228691","txn","","","Gryphoceratops","","228691","genus","Gryphoceratops","90273","40783","extinct","1"
"38849","38849","txn","","","Leptoceratops","","38849","genus","Leptoceratops","90273","18645","extinct","8"
"426795","426795","txn","","","Beg","","426795","genus","Beg","52774","73869","extinct","1"
